Name,Ticker,Sub-Sector
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing
HDFC Bank Ltd,HDFCBANK,Private Banks
Bharti Airtel Ltd,BHARTIARTL,Telecom Services
Tata Consultancy Services Ltd,TCS,IT Services & Consulting
State Bank of India,SBIN,Public Banks
ICICI Bank Ltd,ICICIBANK,Private Banks
Larsen and Toubro Ltd,LT,Construction & Engineering
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance
Infosys Ltd,INFY,IT Services & Consulting
Life Insurance Corporation Of India,LICI,Insurance
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products
Adani Power Ltd,ADANIPOWER,Power Generation
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports
Adani Enterprises Ltd,ADANIENT,Commodities Trading
Maruti Suzuki India Ltd,MARUTI,Four Wheelers
Axis Bank Ltd,AXISBANK,Private Banks
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches"
Mahindra and Mahindra Ltd,M&M,Four Wheelers
NTPC Ltd,NTPC,Power Generation
ITC Ltd,ITC,FMCG - Tobacco
HCL Technologies Ltd,HCLTECH,IT Services & Consulting
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production
UltraTech Cement Ltd,ULTRACEMCO,Cement
JSW Steel Ltd,JSWSTEEL,Iron & Steel
Bharat Electronics Ltd,BEL,Electronic Equipments
Coal India Ltd,COALINDIA,Mining - Coal
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments
Bajaj Finserv Ltd,BAJAJFINSV,Insurance
Nestle India Ltd,NESTLEIND,FMCG - Foods
Avenue Supermarts Ltd,DMART,Retail - Department Stores
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified
Tata Steel Ltd,TATASTEEL,Iron & Steel
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium
Asian Paints Ltd,ASIANPAINT,Paints
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy
Eternal Ltd,ETERNAL,Online Services
Wipro Ltd,WIPRO,IT Services & Consulting
Shriram Finance Ltd,SHRIRAMFIN,Consumer Finance
Grasim Industries Ltd,GRASIM,Cement
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing
Eicher Motors Ltd,EICHERMOT,Trucks & Buses
Adani Energy Solutions Ltd,ADANIENSOL,Power Infrastructure
Varun Beverages Ltd,VBL,Soft Drinks
SBI Life Insurance Company Ltd,SBILIFE,Insurance
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services
Interglobe Aviation Ltd,INDIGO,Airlines
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals
